PO_Number,Vendor,Supplier,Material,PO_Quantity,Order_Value,Due_Date,Creation_Date,Prior_Year_Orders,Prior_Year_Value
NEWPO2026_SCALED_000001,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-03-02,2026-02-22,3,19762.32
NEWPO2026_SCALED_000002,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-04-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000003,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-05-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000004,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-06-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000005,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-07-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000006,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-08-03,2026-02-22,3,19762.32
NEWPO2026_SCALED_000007,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-09-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000008,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-10-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000009,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-11-02,2026-02-22,3,19762.32
NEWPO2026_SCALED_000010,1100000062,Laboratory Glassware Supplier 1,"PIPET,MICRO CAPILLARY,TC,5MICROL",20262,1976.23,2026-12-01,2026-02-22,3,19762.32
NEWPO2026_SCALED_000011,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-03-02,2026-02-22,1,2241.0
NEWPO2026_SCALED_000012,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-04-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000013,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-05-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000014,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-06-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000015,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-07-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000016,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-08-03,2026-02-22,1,2241.0
NEWPO2026_SCALED_000017,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-09-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000018,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-10-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000019,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-11-02,2026-02-22,1,2241.0
NEWPO2026_SCALED_000020,1100000070,Medical-Grade Polymer Manufacturer,"PELLET PESTLE ONLY,0.5ML,RNASE-FREE,FS",996,224.1,2026-12-01,2026-02-22,1,2241.0
NEWPO2026_SCALED_000021,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-03-02,2026-02-22,1,8.11
NEWPO2026_SCALED_000022,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-04-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000023,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-05-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000024,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-06-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000025,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-07-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000026,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-08-03,2026-02-22,1,8.11
NEWPO2026_SCALED_000027,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-09-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000028,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-10-01,2026-02-22,1,8.11
NEWPO2026_SCALED_000029,1100000070,Medical-Grade Polymer Manufacturer,SAMPLE TUBE 1.5 ML PKG/100,10,0.81,2026-11-02,2026-02-22,1,8.11
